7475327,2010-01-01T00:01:00.000Z,1556,2972,-77.0,Swipe Transaction,59935,Beulah,ND,58523.0,5499,Sem erro
7475328,2010-01-01T00:02:00.000Z,561,4575,14.57,Swipe Transaction,67570,Bettendorf,IA,52722.0,5311,Sem erro
7475329,2010-01-01T00:02:00.000Z,1129,102,80.0,Swipe Transaction,27092,Vista,CA,92084.0,4829,Sem erro
7475331,2010-01-01T00:05:00.000Z,430,2860,200.0,Swipe Transaction,27092,Crown Point,IN,46307.0,4829,Sem erro
7475332,2010-01-01T00:06:00.000Z,848,3915,46.41,Swipe Transaction,13051,Harwood,MD,20776.0,5813,Sem erro
7475333,2010-01-01T00:07:00.000Z,1807,165,4.81,Swipe Transaction,20519,Bronx,NY,10464.0,5942,Sem erro
7475334,2010-01-01T00:09:00.000Z,1556,2972,77.0,Swipe Transaction,59935,Beulah,ND,58523.0,5499,Sem erro
7475335,2010-01-01T00:14:00.000Z,1684,2140,26.46,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475336,2010-01-01T00:21:00.000Z,335,5131,261.58,Online Transaction,50292,ONLINE,ONLINE,0,7801,Sem erro
7475337,2010-01-01T00:21:00.000Z,351,1112,10.74,Swipe Transaction,3864,Flushing,NY,11355.0,5813,Sem erro
7475338,2010-01-01T00:23:00.000Z,554,3912,3.51,Swipe Transaction,67570,Pearland,TX,77581.0,5311,Sem erro
7475339,2010-01-01T00:23:00.000Z,605,5061,2.58,Swipe Transaction,75781,Brooklyn,NY,11210.0,5411,Sem erro
7475340,2010-01-01T00:26:00.000Z,1556,2972,39.63,Swipe Transaction,59935,Beulah,ND,58523.0,5499,Sem erro
7475341,2010-01-01T00:27:00.000Z,1797,1127,43.33,Swipe Transaction,33326,Kahului,HI,96732.0,4121,Sem erro
7475342,2010-01-01T00:30:00.000Z,114,3398,49.42,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,Sem erro
7475343,2010-01-01T00:31:00.000Z,1634,2464,1.09,Swipe Transaction,20519,San Benito,TX,78586.0,5942,Sem erro
7475344,2010-01-01T00:32:00.000Z,646,2093,73.79,Swipe Transaction,1636,Erie,PA,16511.0,7538,Sem erro
7475345,2010-01-01T00:32:00.000Z,1129,5492,100.0,Swipe Transaction,27092,Vista,CA,92084.0,4829,Sem erro
7475346,2010-01-01T00:34:00.000Z,394,4717,26.04,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475347,2010-01-01T00:36:00.000Z,114,3398,-64.0,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,Sem erro
7475348,2010-01-01T00:36:00.000Z,1376,2182,54.27,Swipe Transaction,88945,Cedar Park,TX,78613.0,5813,Sem erro
7475349,2010-01-01T00:37:00.000Z,1682,238,20.74,Swipe Transaction,21586,Grand Forks,ND,58201.0,5411,Sem erro
7475350,2010-01-01T00:38:00.000Z,114,3398,64.0,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,Sem erro
7475351,2010-01-01T00:38:00.000Z,121,5952,57.54,Swipe Transaction,11901,Menasha,WI,54952.0,5300,Sem erro
7475353,2010-01-01T00:43:00.000Z,301,3742,10.17,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475354,2010-01-01T00:43:00.000Z,1755,4228,12.01,Swipe Transaction,28666,Cordele,GA,31015.0,5921,Sem erro
7475356,2010-01-01T00:45:00.000Z,566,3439,16.86,Online Transaction,16798,ONLINE,ONLINE,0,4121,Sem erro
7475357,2010-01-01T00:46:00.000Z,379,3881,4.64,Swipe Transaction,50783,Mobile,AL,36695.0,5411,Sem erro
7475358,2010-01-01T00:48:00.000Z,401,3004,669.88,Swipe Transaction,68977,West Covina,CA,91791.0,3174,Sem erro
7475359,2010-01-01T00:48:00.000Z,1127,3869,22.57,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475360,2010-01-01T00:49:00.000Z,652,4293,2.4,Swipe Transaction,74624,East Hartford,CT,6108.0,5411,Sem erro
7475361,2010-01-01T00:53:00.000Z,1963,3317,40.35,Swipe Transaction,69972,Vacaville,CA,95687.0,5814,Sem erro
7475362,2010-01-01T00:56:00.000Z,1357,4488,14.57,Swipe Transaction,78632,Tacoma,WA,98404.0,5921,Sem erro
7475363,2010-01-01T00:57:00.000Z,285,3442,7.8,Swipe Transaction,81536,Watsonville,CA,95076.0,5310,Sem erro
7475364,2010-01-01T00:57:00.000Z,1201,16,2.95,Swipe Transaction,61195,Woburn,MA,1801.0,5541,Sem erro
7475365,2010-01-01T01:01:00.000Z,820,127,270.22,Online Transaction,73186,ONLINE,ONLINE,0,4814,Sem erro
7475366,2010-01-01T01:03:00.000Z,1703,2969,78.0,Swipe Transaction,43293,Grand Junction,CO,81506.0,5499,Sem erro
7475367,2010-01-01T01:06:00.000Z,1758,4686,87.09,Online Transaction,17976,ONLINE,ONLINE,0,4900,Sem erro
7475368,2010-01-01T01:07:00.000Z,414,2815,148.39,Swipe Transaction,5258,Morristown,NJ,7960.0,4900,Sem erro
7475370,2010-01-01T01:07:00.000Z,1963,3364,48.12,Swipe Transaction,88646,Vacaville,CA,95688.0,5812,Sem erro
7475371,2010-01-01T01:08:00.000Z,561,3764,7.75,Swipe Transaction,86977,Burlington,IA,52601.0,5813,Sem erro
7475372,2010-01-01T01:11:00.000Z,566,5577,14.66,Online Transaction,16798,ONLINE,ONLINE,0,4121,Sem erro
7475373,2010-01-01T01:11:00.000Z,1642,4281,3.96,Swipe Transaction,44625,Manasquan,NJ,8736.0,5812,Sem erro
7475374,2010-01-01T01:13:00.000Z,1684,94,12.67,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475376,2010-01-01T01:19:00.000Z,989,2511,580.98,Swipe Transaction,73661,Thackerville,OK,73459.0,7995,Sem erro
7475377,2010-01-01T01:19:00.000Z,1519,2452,10.34,Swipe Transaction,12399,Laurel,MT,59044.0,5813,Sem erro
7475378,2010-01-01T01:19:00.000Z,1575,2112,17.14,Swipe Transaction,29232,Osprey,FL,34229.0,4121,Sem erro
7475379,2010-01-01T01:22:00.000Z,986,4755,1.85,Swipe Transaction,14528,Garden City,NY,11530.0,5499,Sem erro
7475380,2010-01-01T01:23:00.000Z,1703,2969,71.72,Swipe Transaction,43293,Grand Junction,CO,81506.0,5499,Sem erro
7475381,2010-01-01T01:25:00.000Z,430,5768,200.0,Swipe Transaction,27092,Crown Point,IN,46307.0,4829,Sem erro
7475382,2010-01-01T01:25:00.000Z,1703,2969,-78.0,Swipe Transaction,43293,Grand Junction,CO,81506.0,5499,Sem erro
7475383,2010-01-01T01:30:00.000Z,1357,65,23.08,Swipe Transaction,80797,Tacoma,WA,98404.0,5813,Sem erro
7475385,2010-01-01T01:37:00.000Z,1484,2527,40.0,Swipe Transaction,27092,Pinetop,AZ,85935.0,4829,Sem erro
7475388,2010-01-01T01:40:00.000Z,1077,2539,2.43,Swipe Transaction,46284,Ukiah,CA,95482.0,5411,Sem erro
7475389,2010-01-01T01:40:00.000Z,1787,2228,3.77,Swipe Transaction,20519,Lexington,KY,40515.0,5942,Sem erro
7475390,2010-01-01T01:41:00.000Z,247,4155,3.29,Swipe Transaction,92883,Lake Charles,LA,70605.0,5812,Sem erro
7475391,2010-01-01T01:41:00.000Z,1087,1029,62.98,Online Transaction,17976,ONLINE,ONLINE,0,4900,Sem erro
7475394,2010-01-01T01:46:00.000Z,1575,224,34.34,Online Transaction,16798,ONLINE,ONLINE,0,4121,Sem erro
7475395,2010-01-01T01:47:00.000Z,1731,2797,73.46,Swipe Transaction,18293,Fontana,CA,92336.0,7995,Sem erro
7475396,2010-01-01T01:48:00.000Z,125,2023,9.16,Swipe Transaction,23462,Modesto,CA,95351.0,5813,Sem erro
7475397,2010-01-01T01:48:00.000Z,989,4124,541.29,Swipe Transaction,40475,Arlington Heights,IL,60005.0,7802,Sem erro
7475398,2010-01-01T01:53:00.000Z,63,60,30.69,Swipe Transaction,32175,Newark,NJ,7104.0,7538,Sem erro
7475399,2010-01-01T01:54:00.000Z,152,2848,177.41,Swipe Transaction,86616,Muscle Shoals,AL,35661.0,4814,Sem erro
7475400,2010-01-01T01:54:00.000Z,597,4540,14.2,Swipe Transaction,66541,San Francisco,CA,94131.0,5300,Sem erro
7475401,2010-01-01T01:54:00.000Z,1449,241,119.23,Online Transaction,87530,ONLINE,ONLINE,0,4900,Sem erro
7475402,2010-01-01T01:55:00.000Z,1755,4228,10.61,Swipe Transaction,82981,Dublin,GA,31021.0,5912,Sem erro
7475403,2010-01-01T01:56:00.000Z,760,5876,52.98,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475404,2010-01-01T01:56:00.000Z,1642,4281,3.35,Swipe Transaction,44625,Manasquan,NJ,8736.0,5812,Sem erro
7475406,2010-01-01T01:58:00.000Z,1542,2906,39.05,Swipe Transaction,58215,Cleveland,OH,44118.0,5813,Sem erro
7475407,2010-01-01T02:00:00.000Z,727,4295,6.79,Swipe Transaction,72351,Saint Louis,MO,63112.0,5541,Sem erro
7475410,2010-01-01T02:05:00.000Z,1097,4690,100.0,Swipe Transaction,27092,Grand Rapids,MI,49548.0,4829,Sem erro
7475411,2010-01-01T02:05:00.000Z,1453,1117,196.22,Swipe Transaction,5009,Middletown,NY,10940.0,7011,Sem erro
7475412,2010-01-01T02:06:00.000Z,1024,1006,3.83,Swipe Transaction,2177,Colwich,KS,67030.0,5411,Sem erro
7475413,2010-01-01T02:07:00.000Z,858,13,1.87,Swipe Transaction,81833,Gonzales,TX,78629.0,5912,Sem erro
7475414,2010-01-01T02:08:00.000Z,1084,3454,6.63,Swipe Transaction,45926,Tacoma,WA,98403.0,5814,Sem erro
7475415,2010-01-01T02:08:00.000Z,1622,2877,8.3,Swipe Transaction,43293,Canton,MA,2021.0,5499,Sem erro
7475416,2010-01-01T02:09:00.000Z,1787,2228,2.75,Swipe Transaction,75781,Lexington,KY,40509.0,5411,Sem erro
7475417,2010-01-01T02:11:00.000Z,34,1166,4.07,Swipe Transaction,49789,Sacramento,CA,95829.0,5541,Sem erro
7475419,2010-01-01T02:12:00.000Z,1424,4710,2.31,Swipe Transaction,95811,Seligman,AZ,86337.0,5411,Sem erro
7475420,2010-01-01T02:13:00.000Z,121,5952,0.21,Swipe Transaction,61195,Menasha,WI,54952.0,5541,Sem erro
7475421,2010-01-01T02:13:00.000Z,989,2938,396.03,Swipe Transaction,73661,Thackerville,OK,73459.0,7995,Sem erro
7475422,2010-01-01T02:13:00.000Z,1453,1117,-460.0,Swipe Transaction,5009,Middletown,NY,10940.0,7011,Sem erro
7475423,2010-01-01T02:14:00.000Z,474,2493,91.02,Swipe Transaction,35451,Williston Park,NY,11596.0,5812,Sem erro
7475424,2010-01-01T02:15:00.000Z,1142,4674,3.68,Swipe Transaction,59397,Cohasset,MA,2025.0,5812,Sem erro
7475425,2010-01-01T02:16:00.000Z,241,58,38.11,Online Transaction,17976,ONLINE,ONLINE,0,4900,Sem erro
7475426,2010-01-01T02:17:00.000Z,461,5482,25.97,Swipe Transaction,45389,Canton,MI,48188.0,5813,Sem erro
7475427,2010-01-01T02:17:00.000Z,1776,4938,66.05,Online Transaction,39021,ONLINE,ONLINE,0,4784,Sem erro
7475429,2010-01-01T02:22:00.000Z,595,4667,33.02,Swipe Transaction,71416,Bullock,NC,27507.0,4900,Sem erro
7475430,2010-01-01T02:22:00.000Z,972,4166,103.97,Swipe Transaction,18966,Markesan,WI,53946.0,4900,Sem erro
7475431,2010-01-01T02:25:00.000Z,212,2418,2.33,Swipe Transaction,61195,Dallas,TX,75227.0,5541,Sem erro
7475432,2010-01-01T02:25:00.000Z,1214,5508,51.58,Online Transaction,98436,ONLINE,ONLINE,0,5192,Sem erro
7475434,2010-01-01T02:28:00.000Z,178,4261,57.43,Swipe Transaction,78454,Grain Valley,MO,64029.0,5812,Sem erro
7475435,2010-01-01T02:31:00.000Z,1077,4104,2.87,Swipe Transaction,61195,Ukiah,CA,95482.0,5541,Sem erro
7475436,2010-01-01T02:32:00.000Z,1155,5784,27.63,Swipe Transaction,1903,Miami,FL,33127.0,5812,Sem erro
7475437,2010-01-01T02:33:00.000Z,1443,4730,76.76,Swipe Transaction,59288,Waianae,HI,96792.0,5912,Sem erro
7475438,2010-01-01T02:35:00.000Z,387,4601,9.1,Swipe Transaction,75936,Amherst,OH,44001.0,5814,Sem erro
7475439,2010-01-01T02:35:00.000Z,1998,2160,0.75,Swipe Transaction,99312,Burlingame,CA,94010.0,5411,Sem erro
7475440,2010-01-01T02:39:00.000Z,706,4284,160.0,Swipe Transaction,27092,Boulder Creek,CA,95006.0,4829,Sem erro
7475441,2010-01-01T02:40:00.000Z,503,1088,28.21,Swipe Transaction,20561,Chicago,IL,60629.0,5912,Sem erro
7475442,2010-01-01T02:40:00.000Z,714,2958,44.86,Swipe Transaction,1238,Fayetteville,AR,72703.0,7393,Sem erro
7475443,2010-01-01T02:44:00.000Z,908,5154,57.73,Swipe Transaction,68751,Holly Springs,NC,27540.0,5651,Sem erro
7475444,2010-01-01T02:45:00.000Z,758,2181,6.52,Swipe Transaction,75781,Alhambra,CA,91801.0,5411,Sem erro
7475446,2010-01-01T02:48:00.000Z,1411,1069,4.04,Swipe Transaction,10455,Saint Charles,IL,60174.0,5812,Sem erro
